category	time	position	Fst	pi	Dxy	T
neu	0	10000	0.05804345188	0.0002762442714	1.85365803340568e-05	20
swp	0	10000	0.05842323733	0.0002690177298	1.76590414840583e-05	20
neu	1	10000	0.05796004194	0.0002752809872	1.86984819030105e-05	40
swp	1	10000	0.07198499656	0.0002604754538	2.17198255684096e-05	40
neu	2	10000	0.0578853528	0.0002753817432	1.82686487922337e-05	60
swp	2	10000	0.08366727944	0.0002515586116	2.51358772493902e-05	60
neu	3	10000	0.05940288544	0.0002737907966	1.87567999711897e-05	80
swp	3	10000	0.09251075608	0.0002506365604	2.80250647549564e-05	80
neu	4	10000	0.0596010983	0.0002746183756	1.88199866479464e-05	100
swp	4	10000	0.095336229678	0.0002498093996	2.91590146850209e-05	100
neu	5	10000	0.0586175732665331	0.000273068141282565	1.84637174615267e-05	200
swp	5	10000	0.09574739952	0.0002494029608	2.92461633838318e-05	200
neu	6	10000	0.0590064470981964	0.000271949231062124	1.79913555918255e-05	300
swp	6	10000	0.096248245782	0.0002497198978	2.87008004210122e-05	300
neu	7	10000	0.0579522365791583	0.000271304743486974	1.83150944188334e-05	400
swp	7	10000	0.10067296674	0.0002517039602	3.00666350114892e-05	400
neu	8	10000	0.0569381142344689	0.000269503653707415	1.71381821030667e-05	500
swp	8	10000	0.10222209724	0.0002510673696	3.0748135774796e-05	500
neu	0	30000	0.057883610114	0.00027344691	1.82928132135534e-05	20
swp	0	30000	0.059228519212	0.000264754826	1.79592676268807e-05	20
neu	1	30000	0.05759546386	0.0002725787772	1.7996383068837e-05	40
swp	1	30000	0.07393510785	0.000258434895	2.23353511665176e-05	40
neu	2	30000	0.05832969034	0.0002733992956	1.8129499953495e-05	60
swp	2	30000	0.09011616934	0.0002496672572	2.68171498794108e-05	60
neu	3	30000	0.05865853166	0.0002726550868	1.82298175997579e-05	80
swp	3	30000	0.09573006668	0.0002468075958	2.88981218717105e-05	80
neu	4	30000	0.05949875614	0.0002719276326	1.86625376686376e-05	100
swp	4	30000	0.097760848192	0.0002465059588	2.96233711860414e-05	100
neu	5	30000	0.0591562652344689	0.000270964223647295	1.81335573524688e-05	200
swp	5	30000	0.10034045962	0.0002458468728	3.08151240314924e-05	200
neu	6	30000	0.0579753033066132	0.000271307970140281	1.75966067738352e-05	300
swp	6	30000	0.101221757068	0.0002466258232	3.15489212828032e-05	300
neu	7	30000	0.0579854406412826	0.000269222667735471	1.77709327063413e-05	400
swp	7	30000	0.10161384102	0.0002479491608	3.16509238391213e-05	400
neu	8	30000	0.0573571849318637	0.000268397518837675	1.72761436260047e-05	500
swp	8	30000	0.105215358172	0.0002488245764	3.28946251002713e-05	500
neu	0	50000	0.058823040508	0.000261074963	1.75372449600107e-05	20
swp	0	50000	0.0592120640482	0.0002726244034	1.91344958229773e-05	20
neu	1	50000	0.057482858652	0.000261310181	1.6762819146521e-05	40
swp	1	50000	0.07399859652	0.000264856543	2.36811218760603e-05	40
neu	2	50000	0.06070502942	0.0002609114292	1.81214420481469e-05	60
swp	2	50000	0.0900250654	0.0002561105784	2.84274072327055e-05	60
neu	3	50000	0.05955600639	0.0002600308202	1.73700209812062e-05	80
swp	3	50000	0.09768046886	0.0002533620808	3.12362584600614e-05	80
neu	4	50000	0.061024047692	0.0002599581346	1.81963474623787e-05	100
swp	4	50000	0.09821929148	0.0002518014436	3.1176283388258e-05	100
neu	5	50000	0.0619466967735471	0.000259255583567134	1.82440932795331e-05	200
swp	5	50000	0.09915205144	0.0002519654632	3.17049951686062e-05	200
neu	6	50000	0.0616311346092184	0.000258624346092184	1.81453766876972e-05	300
swp	6	50000	0.0999923449	0.0002543607788	3.08615062503392e-05	300
neu	7	50000	0.058343589759519	0.000256539918637275	1.71406049346692e-05	400
swp	7	50000	0.09957186986	0.0002545175112	3.08207097710992e-05	400
neu	8	50000	0.0584958605811623	0.000255954522044088	1.66712646410813e-05	500
swp	8	50000	0.10035928606	0.000254873388	3.1033185897912e-05	500
neu	0	70000	0.057316584108	0.000267750242	1.7444610140669e-05	20
swp	0	70000	0.059952437524	0.0002612312168	1.79778716377678e-05	20
neu	1	70000	0.056001034976	0.0002676793934	1.69344104562474e-05	40
swp	1	70000	0.07380648078	0.0002547488958	2.18454198753816e-05	40
neu	2	70000	0.05753149056	0.0002683040134	1.74341864447346e-05	60
swp	2	70000	0.08834174296	0.000247882775	2.64514415127192e-05	60
neu	3	70000	0.056681793422	0.0002671647894	1.6998594934347e-05	80
swp	3	70000	0.09425071664	0.000244445802	2.79741834669582e-05	80
neu	4	70000	0.0589343860858	0.0002670582584	1.78156365537811e-05	100
swp	4	70000	0.09711949426	0.0002439919404	2.89167281557652e-05	100
neu	5	70000	0.0592257690981964	0.000265077676553106	1.83035265369499e-05	200
swp	5	70000	0.09830613892	0.0002444998354	2.92999422666562e-05	200
neu	6	70000	0.0576158571142285	0.000263927616833667	1.74122155461849e-05	300
swp	6	70000	0.098755047008	0.0002453331172	2.88441147756412e-05	300
neu	7	70000	0.0556044329398798	0.000261782319639279	1.66530491271691e-05	400
swp	7	70000	0.10002584914	0.0002464232966	2.97836901029259e-05	400
neu	8	70000	0.0568150730260521	0.000261214369338677	1.68354928606652e-05	500
swp	8	70000	0.104070771548	0.000247533277	3.13740541789136e-05	500
neu	0	90000	0.056706299582	0.0002584262796	1.6843591440299e-05	20
swp	0	90000	0.05666111178	0.0002616624362	1.60591280634839e-05	20
neu	1	90000	0.054347855282	0.0002570413124	1.60336950122617e-05	40
swp	1	90000	0.0702398473	0.0002515134014	2.01397839053672e-05	40
neu	2	90000	0.0549854784608	0.0002574482432	1.60584913248472e-05	60
swp	2	90000	0.08694094744	0.000243563316	2.50420505542014e-05	60
neu	3	90000	0.0551122548	0.0002568194998	1.63495405377283e-05	80
swp	3	90000	0.0946900337	0.0002400142118	2.74159443831289e-05	80
neu	4	90000	0.05654602974	0.000257579096	1.72213466789064e-05	100
swp	4	90000	0.09699969282	0.0002398119058	2.78550857407587e-05	100
neu	5	90000	0.0565343055811623	0.000257506126452906	1.68927829845261e-05	200
swp	5	90000	0.09901789994	0.0002402276056	2.90115959722321e-05	200
neu	6	90000	0.0548889114829659	0.000255202730861723	1.64873762715535e-05	300
swp	6	90000	0.09909094482	0.0002402138612	2.91077279316823e-05	300
neu	7	90000	0.055221355511022	0.000254471533066132	1.64360295426704e-05	400
swp	7	90000	0.10154409908	0.0002428676326	2.98822236211251e-05	400
neu	8	90000	0.0573045305611222	0.000252874022244489	1.72702577902202e-05	500
swp	8	90000	0.10592245824	0.0002427536448	3.15253455394926e-05	500
neu	0	110000	0.056973444528	0.0002673687236	1.78318889882034e-05	20
swp	0	110000	0.06071178206	0.0002607340208	1.79223965016016e-05	20
neu	1	110000	0.05664553324	0.000266423005	1.77318547252078e-05	40
swp	1	110000	0.07554448526	0.0002507245086	2.2299783119836e-05	40
neu	2	110000	0.055834497504	0.0002663930126	1.72248131915356e-05	60
swp	2	110000	0.09323637586	0.0002437791152	2.77247551078423e-05	60
neu	3	110000	0.056046882274	0.0002663484848	1.7278991776941e-05	80
swp	3	110000	0.10111420772	0.0002403654054	2.9986360798091e-05	80
neu	4	110000	0.0572808025552	0.000266360132	1.79547570474142e-05	100
swp	4	110000	0.10066869174	0.0002395861748	3.00616774762641e-05	100
neu	5	110000	0.0563630866788377	0.000264278272945892	1.69014627560644e-05	200
swp	5	110000	0.10720218304	0.000239773547	3.22414147059365e-05	200
